"Generator_Name","time","power","scenario"
"Wind32-105","2024-06-27 05:00:00",54.2,"Base"
"Wind32-106","2024-06-27 05:00:00",644.7,"Base"
"Wind33-115","2024-06-27 05:00:00",48.6,"Base"
"Wind33-115","2024-06-27 05:00:00",322.2,"Base"
"Wind36-76","2024-06-27 05:00:00",207.2,"Base"
"Wind37-102","2024-06-27 05:00:00",422.1,"Base"
"Wind41-121","2024-06-27 05:00:00",0.3,"Base"
"Wind41-121","2024-06-27 05:00:00",1.2,"Base"
"Wind41-72","2024-06-27 05:00:00",156.7,"Base"
"Wind41-74","2024-06-27 05:00:00",249.9,"Base"
"Wind42-82","2024-06-27 05:00:00",77.1,"Base"
"Wind45-63","2024-06-27 05:00:00",268.509500007865,"Base"
"Wind45-72","2024-06-27 05:00:00",58.5,"Base"
"Wind45-72","2024-06-27 05:00:00",115.2,"Base"
"Wind48-124","2024-06-27 05:00:00",9,"Base"
"Wind48-124","2024-06-27 05:00:00",0,"Base"
"Wind49-106","2024-06-27 05:00:00",22.9,"Base"
"Wind49-113","2024-06-27 05:00:00",1197.7,"Base"
"Wind50-96","2024-06-27 05:00:00",116.675449994999,"Base"
